SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
159,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,13-07-2024 10:00,54
160,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,13-07-2024 22:00,195
161,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,14-07-2024 09:00,33
162,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,15-07-2024 16:00,0.5
163,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,15-07-2024 16:00,0.5
164,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,17-07-2024 01:00,0.5
165,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,17-07-2024 01:00,0.5
166,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,17-07-2024 05:00,14.5
167,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,17-07-2024 18:00,159
168,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,18-07-2024 19:00,0.5
169,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,22-07-2024 11:00,0.5
170,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,22-07-2024 16:00,0.5
171,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,23-07-2024 02:00,0.5
172,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,23-07-2024 07:00,96
173,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,23-07-2024 17:00,156
174,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,23-07-2024 22:00,172
175,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,25-07-2024 02:00,36
176,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,25-07-2024 04:00,116
177,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,25-07-2024 16:00,0.5
